,Start,End,Style,StyleInd,hasIcon
381,827.83,830.73,Hinano,5,True
382,830.1,831.96,Hanabusa,1,True
383,831.96,833.37,Hinano,5,True
384,833.37,835.43,Hinano,5,True
385,834.56,838.0,Hanabusa,1,True
386,838.83,841.86,Ichinose,2,True
387,841.36,843.0,Ema,4,True
388,845.66,846.83,Mimitaya,7,True
389,849.3,851.43,Yakumo,-1,False
390,853.2,855.8,Yakumo,-1,False
391,855.8,858.43,Question,-1,False
392,857.76,859.79,Ichinose,2,True
393,859.79,862.33,Ichinose,2,True
394,863.33,867.63,Yakumo,-1,False
395,867.4,868.83,Hinano,5,True
396,868.06,869.23,Yakumo,-1,False
397,868.83,873.46,Translator,-1,False
398,869.06,871.23,Hanabusa,1,True
399,870.46,871.46,Ema,4,True
400,871.46,872.7,Ichinose,2,True
401,872.2,873.83,Yakumo,-1,False
402,873.83,875.43,Mimitaya,7,True
403,874.9,876.53,Yakumo,-1,False
404,877.5,878.43,Yakumo,-1,False
405,878.43,881.0,Ichinose,2,True
406,883.53,885.6,Yakumo,-1,False
407,886.36,887.76,Yakumo,-1,False
408,886.6,889.36,Hinano,5,True
409,887.76,889.3,Yakumo,-1,False
410,889.5,891.16,Ichinose,2,True
411,890.03,892.33,Yakumo,-1,False
412,892.46,896.83,Ichinose,2,True
413,896.83,898.83,Sumire,3,True
414,898.83,900.6,Ramune,0,True
415,900.2,903.46,Mimitaya,7,True
416,905.36,908.5,Yakumo,-1,False
417,907.9,909.23,Hanabusa,1,True
418,908.66,910.73,Asumi,6,True
419,910.53,912.83,Ramune,0,True
420,910.73,911.93,Yakumo,-1,False
421,912.83,914.63,Sumire,3,True
422,913.5,914.5,Ramune,0,True
423,915.36,917.46,Yakumo,-1,False
424,917.86,922.0,Question,-1,False
425,917.86,919.0,Yakumo,-1,False
426,918.66,921.23,Hinano,5,True
427,919.3,921.1,Ema,4,True
428,921.1,923.5,Ichinose,2,True
429,923.5,924.86,Sumire,3,True
430,924.86,928.1,Sumire,3,True
431,927.4,928.3,Yakumo,-1,False
432,928.3,930.8,Sumire,3,True
433,929.73,931.0,Hanabusa,1,True
434,932.4,935.08,Sumire,3,True
435,935.08,936.6,Sumire,3,True
436,936.6,938.23,Ema,4,True
437,938.23,940.03,Ichinose,2,True
438,938.46,940.9,Translator,-1,False
439,938.46,940.9,Yakumo,-1,False
440,941.86,943.5,Mimitaya,7,True
441,942.83,944.23,Ichinose,2,True
442,944.23,946.46,Hanabusa,1,True
443,946.46,948.56,Yakumo,-1,False
444,948.03,949.96,Ichinose,2,True
445,949.96,953.83,Sumire,3,True
446,953.0,954.16,Yakumo,-1,False
447,954.16,957.03,Ichinose,2,True
448,957.03,959.23,Ichinose,2,True
449,960.2,962.73,Ichinose,2,True
450,961.5,963.13,Yakumo,-1,False
451,963.13,967.14,Sumire,3,True
452,967.14,971.33,Sumire,3,True
453,971.63,973.83,Ichinose,2,True
454,973.46,974.5,Ramune,0,True
455,974.0,975.83,Yakumo,-1,False
456,975.83,977.7,Sumire,3,True
457,976.83,979.9,Ichinose,2,True
458,979.03,981.7,Hanabusa,1,True
459,982.16,984.0,Sumire,3,True
460,982.9,985.43,Ichinose,2,True
461,988.43,991.3,Sumire,3,True
462,991.16,995.0,Yakumo,-1,False
463,995.0,996.31,Hanabusa,1,True
464,996.31,998.23,Hanabusa,1,True
465,998.23,1002.26,Ichinose,2,True
466,999.73,1001.2,Hanabusa,1,True
467,1001.73,1004.4,Hanabusa,1,True
468,1004.83,1007.06,Yakumo,-1,False
469,1008.73,1010.88,Mimitaya,7,True
470,1008.73,1013.03,Question,-1,False
471,1010.88,1013.03,Mimitaya,7,True
472,1013.43,1015.33,Sumire,3,True
473,1015.53,1017.4,Hanabusa,1,True
474,1015.8,1016.7,Sumire,3,True
475,1017.4,1018.3,Sumire,3,True
476,1017.86,1019.96,Hanabusa,1,True
477,1019.96,1020.8,Yakumo,-1,False
478,1020.8,1022.66,Hanabusa,1,True
479,1022.66,1023.66,Ichinose,2,True
480,1023.66,1026.83,Yakumo,-1,False
481,1026.83,1028.06,Mimitaya,7,True
482,1027.73,1029.46,Yakumo,-1,False
483,1029.46,1030.6,Ichinose,2,True
484,1030.6,1032.16,Hanabusa,1,True
485,1032.16,1033.03,Ichinose,2,True
486,1033.03,1035.43,Sumire,3,True
487,1035.43,1038.83,Hanabusa,1,True
488,1040.96,1043.86,Sumire,3,True
489,1043.03,1045.26,Yakumo,-1,False
490,1044.66,1047.8,Ichinose,2,True
491,1045.73,1049.73,Sumire,3,True
492,1049.5,1051.3,Yakumo,-1,False
493,1051.3,1055.62,Mimitaya,7,True
494,1055.62,1056.7,Mimitaya,7,True
495,1057.3,1061.2,Hanabusa,1,True
496,1060.46,1061.83,Ema,4,True
497,1061.1,1065.13,Yakumo,-1,False
498,1065.13,1068.16,Hanabusa,1,True
499,1068.16,1069.63,Asumi,6,True
500,1069.63,1072.1,Yakumo,-1,False
501,1070.9,1074.06,Hinano,5,True
502,1074.73,1077.63,Yakumo,-1,False
503,1078.6,1080.56,Ichinose,2,True
