,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
859,0:45:33.65,0:45:38.50,2733.65,120553965,2738.5,120767850
861,0:45:40.85,0:45:46.20,2740.85,120871485,2746.2,121107419
863,0:45:48.00,0:45:53.15,2748.0,121186800,2753.15,121413915
866,0:45:55.80,0:46:07.85,2755.8,121530780,2767.85,122062185
872,0:46:11.25,0:46:22.55,2771.25,122212125,2782.55,122710455
875,0:46:24.40,0:46:26.95,2784.4,122792040,2786.95,122904494
877,0:46:28.80,0:46:33.90,2788.8,122986080,2793.9,123210990
879,0:46:36.35,0:46:40.70,2796.35,123319035,2800.7,123510869
881,0:46:42.90,0:47:01.60,2802.9,123607890,2821.6,124432560
887,0:47:05.00,0:47:08.40,2825.0,124582500,2828.4,124732440
889,0:47:12.10,0:47:32.85,2832.1,124895610,2852.85,125810685
894,0:47:34.60,0:47:40.75,2854.6,125887860,2860.75,126159075
898,0:47:44.50,0:47:46.15,2864.5,126324450,2866.15,126397215
900,0:47:47.30,0:47:50.00,2867.3,126447930,2870.0,126567000
902,0:47:52.25,0:47:57.30,2872.25,126666225,2877.3,126888930
905,0:48:02.30,0:48:04.80,2882.3,127109430,2884.8,127219680
912,0:48:29.80,0:48:41.20,2909.8,128322180,2921.2,128824919
915,0:48:42.00,0:48:46.95,2922.0,128860200,2926.95,129078494
917,0:48:48.15,0:48:53.45,2928.15,129131415,2933.45,129365144
921,0:48:55.95,0:48:56.80,2935.95,129475394,2936.8,129512880
923,0:48:57.85,0:49:11.05,2937.85,129559185,2951.05,130141305
931,0:49:13.76,0:49:37.98,2953.76,130260816,2977.98,131328918
942,0:49:39.76,0:49:46.92,2979.76,131407416,2986.92,131723172
946,0:49:49.00,0:49:52.43,2989.0,131814900,2992.43,131966163
948,0:49:53.85,0:49:57.36,2993.85,132028785,2997.36,132183576
950,0:49:59.40,0:50:01.89,2999.4,132273540,3001.89,132383349
953,0:50:05.45,0:50:30.45,3005.45,132540344,3030.45,133642844
962,0:50:34.00,0:50:38.35,3034.0,133799400,3038.35,133991235
965,0:50:43.30,0:50:52.50,3043.3,134209530,3052.5,134615250
970,0:50:54.75,0:50:58.90,3054.75,134714475,3058.9,134897490
972,0:51:00.65,0:51:04.10,3060.65,134974665,3064.1,135126810
974,0:51:06.95,0:51:10.80,3066.95,135252495,3070.8,135422280
976,0:51:12.20,0:51:18.50,3072.2,135484020,3078.5,135761850
979,0:51:20.35,0:51:32.25,3080.35,135843435,3092.25,136368225
986,0:51:40.25,0:51:43.60,3100.25,136721025,3103.6,136868760
992,0:51:55.35,0:52:01.85,3115.35,137386935,3121.85,137673585
995,0:52:06.10,0:52:07.70,3126.1,137861010,3127.7,137931570
997,0:52:12.10,0:52:16.55,3132.1,138125610,3136.55,138321855
1000,0:52:20.75,0:52:23.05,3140.75,138507075,3143.05,138608505
1007,0:52:41.10,0:52:47.65,3161.1,139404510,3167.65,139693365
1012,0:52:56.75,0:53:21.65,3176.75,140094675,3201.65,141192765
1024,0:53:43.65,0:54:00.60,3223.65,142162965,3240.6,142910460
1029,0:54:02.85,0:54:41.70,3242.85,143009685,3281.7,144722970
1039,0:54:44.35,0:54:47.15,3284.35,144839835,3287.15,144963315
1041,0:54:51.40,0:54:55.70,3291.4,145150740,3295.7,145340370
1043,0:54:57.00,0:54:59.30,3297.0,145397700,3299.3,145499130
1045,0:55:00.60,0:55:02.20,3300.6,145556460,3302.2,145627020
1047,0:55:04.05,0:55:09.85,3304.05,145708605,3309.85,145964385
1050,0:55:12.10,0:55:19.15,3312.1,146063610,3319.15,146374515
1052,0:55:20.00,0:55:22.30,3320.0,146412000,3322.3,146513430
1054,0:55:24.20,0:55:30.20,3324.2,146597220,3330.2,146861820
1057,0:55:33.95,0:55:35.75,3333.95,147027195,3335.75,147106575
1059,0:55:39.55,0:55:43.05,3339.55,147274155,3343.05,147428505
1061,0:55:46.75,0:55:48.45,3346.75,147591675,3348.45,147666645
1063,0:55:51.50,0:55:56.10,3351.5,147801150,3356.1,148004010
1071,0:56:20.95,0:56:26.05,3380.95,149099895,3386.05,149324805
1074,0:56:29.70,0:56:33.25,3389.7,149485770,3393.25,149642325
1077,0:56:38.85,0:56:43.95,3398.85,149889285,3403.95,150114195
1080,0:56:51.20,0:56:55.65,3411.2,150433920,3415.65,150630165
1083,0:56:59.60,0:57:06.50,3419.6,150804360,3426.5,151108650
1087,0:57:12.65,0:57:15.50,3432.65,151379865,3435.5,151505550
1089,0:57:24.40,0:57:27.30,3444.4,151898040,3447.3,152025930
1091,0:57:29.60,0:57:30.80,3449.6,152127360,3450.8,152180280
